n,prueba,esperado,obtenido,ok,corrida
86,la retención por cobrar de la apertura va por factura (y se cobra),sin_factura=MX006:va_por_factura con_factura=facturas/-4400007:1250.00 cobro_de_la_retencion=entró,sin_factura=MX006:va_por_factura con_factura=facturas/-4400007:1250.00 cobro_de_la_retencion=entró,true,2026-09-26 14:40:09.187402+00
87,la balanza de quincena se compara a su fecha,al_15=t:0 sin_fecha=2 version_15=t:0 control=la_ultima,al_15=t:0 sin_fecha=2 version_15=t:0 control=la_ultima,true,2026-09-26 14:40:09.187402+00
88,el JIT apagado para la app (donde PostgREST lo lee) y para fn_estados_control,postgrest=jit_off control=jit_off,postgrest=jit_off control=jit_off,true,2026-09-26 14:40:09.187402+00
89,lo sin repartir que no se explica sale en rojo,"normal=t,t atacada=5100:f:+300.37 costo=f cuadre=f:5100 bolsa_5015=t","normal=t,t atacada=5100:f:+300.37 costo=f cuadre=f:5100 bolsa_5015=t",true,2026-09-26 14:40:09.187402+00
90,las pruebas piden los candados en el orden de la app,cajones=512 cadena=MXT10 periodos=MXT10,cajones=512 cadena=MXT10 periodos=MXT10,true,2026-09-26 14:40:09.187402+00
91,"el resultado de la apertura es el que se posteó, aunque se re-mapee (y se avisa)","aviso=t:clase balance=resultado_ejercicio:38050.00,utilidades_retenidas:-38050.00 baja=38050.00:1 arrastre_3900=38050.00:38050.00","aviso=t:clase balance=resultado_ejercicio:38050.00,utilidades_retenidas:-38050.00 baja=38050.00:1 arrastre_3900=38050.00:38050.00",true,2026-09-26 14:40:09.187402+00
92,lo pagado sin partida salda los papeles de su proveedor (y el a favor es el del balance),uno=proveedor:400.00:2026-10-07:papel:0-30 bajar=ok dos=proveedor:-500.00:a_favor balance=500.00 total=mayor,uno=proveedor:400.00:2026-10-07:papel:0-30 bajar=ok dos=proveedor:-500.00:a_favor balance=500.00 total=mayor,true,2026-09-26 14:40:09.187402+00
93,el control del pasivo: una deuda mapeada a capital no pasa la apertura,"nombres=pasivo,capital,pasivo_capital deuda_a_capital=MX001:total_liabilities+amex_2009 sin_pasivo=MX001:falta_total_liabilities con_capital=amarra:3750.00:53150.00:56900.00","nombres=pasivo,capital,pasivo_capital deuda_a_capital=MX001:total_liabilities+amex_2009 sin_pasivo=MX001:falta_total_liabilities con_capital=amarra:3750.00:53150.00:56900.00",true,2026-09-26 14:40:09.187402+00
94,una factura no entra a la apertura con más por cobrar que su monto,MX006:factura_C4-QB-6:4000.00:4600.00:filas,MX006:factura_C4-QB-6:4000.00:4600.00:filas,true,2026-09-26 14:40:09.187402+00
95,el proveedor del asiento solo si su deuda explica el asiento (el journal de nómina),sueldos=ninguno seguro=C4 PRUEBAS SEGUROS:asiento,sueldos=ninguno seguro=C4 PRUEBAS SEGUROS:asiento,true,2026-09-26 14:40:09.187402+00
96,"sin dinero, las dos patas de una misma sección no se anulan","conversion=sd_contrapartida:10000.00,sd_financiamiento:-10000.00|sd_contrapartida:10000.00,sd_financiamiento:-10000.00 porcion=sd_financiamiento:0.00|sd_financiamiento:0.00 cuadra=t","conversion=sd_contrapartida:10000.00,sd_financiamiento:-10000.00|sd_contrapartida:10000.00,sd_financiamiento:-10000.00 porcion=sd_financiamiento:0.00|sd_financiamiento:0.00 cuadra=t",true,2026-09-26 14:40:09.187402+00
97,lo que se cobra sin factura se fecha por lo más viejo sin cobrar (FIFO),fecha=2026-11-10 tramo=0-30 por_cobrar=500.00,fecha=2026-11-10 tramo=0-30 por_cobrar=500.00,true,2026-09-26 14:40:09.187402+00
98,la retención por pagar de la apertura no vence por términos ni se fecha el 30-sep,retencion=700.00:retencion:fecha=-:vence=-:dias_vencida=-,retencion=700.00:retencion:fecha=-:vence=-:dias_vencida=-,true,2026-09-26 14:40:09.187402+00
99,el adelanto de efectivo de la tarjeta es financiamiento (y su pago),"adelanto=prestamos:500.00,tarjetas:0.00|fin_prestamos:500.00,op_tarjetas:0.00 pago=prestamos:-500.00,tarjetas:0.00|fin_prestamos:-500.00,op_tarjetas:0.00 cuadra=t","adelanto=prestamos:500.00,tarjetas:0.00|fin_prestamos:500.00,op_tarjetas:0.00 pago=prestamos:-500.00,tarjetas:0.00|fin_prestamos:-500.00,op_tarjetas:0.00 cuadra=t",true,2026-09-26 14:40:09.187402+00
100,"la caja chica en rojo no es un sobregiro: su renglón, su flujo y su rojo","marca=t balance=200.00 sobregiro=0.00 flujo=200.00,200.00 panel=200.00 saldos=caja cuadres=t control=f","marca=t balance=200.00 sobregiro=0.00 flujo=200.00,200.00 panel=200.00 saldos=caja cuadres=t control=f",true,2026-09-26 14:40:09.187402+00
